orden_virada,nro_boya,rumbo,cant_trampas,distancia_entre_trampas,centolla_total,centolla_comercial,arania_total,canastos_procesados,cluster_por_canasto,investigacion,fecha_ini_calado,hora_ini_calado,fecha_fin_calado,hora_fin_calado,prof_ini_calado,prof_fin_calado,lat_ini_calado,long_ini_calado,lat_fin_calado,long_fin_calado,fecha_ini_virada,hora_ini_virada,fecha_fin_virada,hora_fin_virada,prof_ini_virada,prof_fin_virada,lat_ini_virada,long_ini_virada,lat_fin_virada,long_fin_virada,comentarios
11,1,180,150,20,1635,1529,2,51,NULL,N,05/11/2014,20:03,05/11/2014,20:30,91,92,"45° 07,18´","63° 56,04´","45° 09,02´","63° 55,89´",14/11/2014,11:59,14/11/2014,13:04,91,92,"45° 07,14´","63° 55,87´","45° 08,85´","45° 55,62´","Muestra de tallas"
12,10,180,149,35,1376,1270,11,45,NULL,N,05/11/2014,20:36,05/11/2014,21:09,94,94,"45° 09,50´","63° 55,89´","45° 12,43´","63° 55,91´",14/11/2014,14:34,14/11/2014,15:42,94,94,"45° 09,62´","63° 56,75´","45° 12,35´","45° 55,72´",
13,55,360,150,20,1181,1085,16,42,NULL,N,05/11/2014,21:21,05/11/2014,21:46,94,86,"45° 12,43´","63° 57,89´","45° 10,64´","63° 57,98´",14/11/2014,17:16,14/11/2014,18:19,86,94,"45° 10,75´","63° 57,91´","45° 12,43´","45° 57,77´",
14,19,360,148,20,1182,1097,8,36,53,N,05/11/2014,21:50,05/11/2014,22:15,85,81,"45° 10,10´","63° 58,00´","45° 08,50´","63° 58,00´",15/11/2014,08:29,15/11/2014,09:40,81,85,"45° 08,62´","63° 58,02´","45° 10,08´","45° 57,87´","Muestra de tallas y F.C."
15,7,180,149,20,1265,1189,13,42,NULL,N,06/11/2014,09:05,06/11/2014,09:30,93,95,"45° 12,85´","63° 59,10´","45° 14,95´","63° 59,31´",15/11/2014,10:11,15/11/2014,11:14,93,95,"45° 12,93´","63° 59,06´","45° 14,71´","45° 59,08´",
16,32,180,150,30,NULL,NULL,NULL,57,NULL,N,06/11/2014,09:34,06/11/2014,10:07,93,91,"45° 15,21´","63° 59,33´","45° 17,91´","63° 59,41´",15/11/2014,13:10,15/11/2014,14:25,93,91,"45° 15,21´","63° 59,33´","45° 17,91´","45° 59,47´","No presenciado. Realizando muestra de F.C. aprovechando disponibilidad de balanza"
17,3,180,150,25,1070,995,23,36,NULL,N,06/11/2014,10:14,06/11/2014,10:42,93,94,"45° 18,41´","63° 59,48´","45° 20,68´","63° 59,60´",15/11/2014,15:52,15/11/2014,16:56,94,93,"45° 20,58´","63° 59,54´","45° 18,60´","45° 59,58´",
18,18,360,149,20,1675,1353,125,45,NULL,S,06/11/2014,14:28,06/11/2014,14:57,96,93,"45° 23,25´","64° 03,54´","45° 21,10´","64° 03,58´",15/11/2014,18:07,15/11/2014,19:46,NULL,NULL,"45° 23,18´","64° 03,35´","45° 22,08´","45° 03,77´","Línea de investigación. Sólo se muestrean trampas sin aro. 18:50 Se mete la línea bajo el casco. Debe cortarse. Se suspende el muestreo.	19:10 Se retoma la virada comenzando desde el otro extremo. Se continúa el muestreo"
19,74,360,150,20,NULL,NULL,NULL,48,56,N,06/11/2014,13:28,06/11/2014,13:52,95,94,"45° 27,87´","64° 03,37´","45° 26,04´","64° 03,45´",16/11/2014,06:28,16/11/2014,07:30,95,94,"45° 27,87´","64° 03,37´","45° 26,04´","45° 03,45´","Virada no presenciada"
20,5,360,150,25,1318,1077,7,39,NULL,N,06/11/2014,13:58,06/11/2014,14:23,95,94,"45° 25,56´","64° 03,45´","45° 23,60´","64° 03,52´",16/11/2014,09:05,16/11/2014,10:05,95,94,"45° 25,48´","64° 03,60´","45° 23,85´","45° 03,68´","Unas 20 trampas de la línea no se observaron (Estaba pesando clusters congelados p/F.C:)"
